Fighter,Opponent,W/L,Method,Competition,Weight,Stage,Year
Alex Enriquez,Trinity Pun,W,EBI/OT,Finishers SO,61KG,SPF,2022
Alex Enriquez,Mackenzie Schultz,W,Pts: 12x0,Southern Subs,N/A,4F,2022
Alex Enriquez,Amanda Steinaway,W,Submission,Southern Subs,N/A,SF,2022
Alex Enriquez,Nicole Matthew,W,EBI/OT,Finishers 17,61KG,SPF,2022
Alex Enriquez,Amanda Alequin,W,Pts: 0x0,NoGi Worlds,56KG,4F,2022
Alex Sodré,Fabricio Andrey,L,Armbar,BJJ Stars,66KG,SPF,2022
Alex Sodré,Meyram Maquine,L,Pts: 5x2,King of Mats,69KG,RR,2022
Alex Sodré,Meyram Maquine,L,Pts: 8x0,King of Mats,69KG,RR,2022
Alex Sodré,Isaac Doederlein,L,Pts: 4x3,King of Mats,69KG,SF,2022
Alex Sodré,Marlus Salgado,L,Pts: 4x2,Grand Slam AD,69KG,SF,2022
Alex Sodré,Isaac Doederlein,L,Pts: 2x2,World Champ.,70KG,4F,2022
Alex Sodré,Meyram Maquine,L,Pts: 7x0,Grand Slam MIA,69KG,SF,2022
Alex Nguyen,Brittany Way,W,Armlock,The Finishers,56KG,SPF,2022
Alex Sodré,Eduardo Jesus,W,Choke from back,Curitiba Open,76KG,R1,2022
Alex Sodré,Higor Lima,W,Pts: 11x8,Curitiba Open,76KG,4F,2022
Alex Sodré,Leandro Lima,W,Referee Decision,Curitiba Open,76KG,SF,2022
Alex Sodré,Yuta Shimada,W,Pts: 2x2,Pan American,70KG,R2,2022
Alex Sodré,Isaac Doederlein,W,Pts: 4x2,Pan American,70KG,4F,2022
Alex Sodré,Thiago Macedo,W,Pts: 4x2,Pan American,70KG,SF,2022
Alex Sodré,Rodnei Barbosa,W,Pts: 5x1,King of Mats,69KG,RR,2022
Alex Sodré,Lucas Pinheiro,W,Pts: 2x1,King of Mats,69KG,3RD,2022
Alex Sodré,Leo Saggioro,W,Pts: 3x0,Grand Slam AD,69KG,4F,2022
Alex Sodré,Omar AlFadhli,W,Omoplata,Grand Slam AD,69KG,RPC,2022
Alex Sodré,Tiago Cintra,W,50/50 armbar,World Champ.,70KG,8F,2022
Alex Sodré,Gustavo Esteban,W,Pts: 6x0,Grand Slam MIA,69KG,R1,2022
Alex Sodré,Ademir Barreto,W,Pts: 1x1,Grand Slam MIA,69KG,4F,2022
Alex Sodré,Thiago Macedo,W,Pts: 2x0,Grand Slam MIA,69KG,RPC,2022
Alex Sodré,Ademir Barreto,W,Pts: 6x5,Grand Slam MIA,69KG,3RD,2022
Ali Monfaradi,Ellis Younger,L,Pts: 8x1,Italy Pro,77KG,F,2022
Ali Monfaradi,Adriano Araujo,L,Referee Decision,UAE Nat Pro,77KG,SF,2022
Ali Monfaradi,Mahdi Khaled,L,Referee Decision,VP Cup,77KG,SF,2022
Ali Monfaradi,Lucas Protasio,L,Pts: 13x7,NoGi GP Rome,77KG,F,2022
Ali Monfaradi,Marinaldo Morais,L,DQ,World Pro,77KG,8F,2022
Ali Monfaradi,Andre Cantanhede,L,Botinha,World Pro,77KG,RPC,2022
Ali Monfaradi,Bilal Benmahammed,W,Pts: 1x0,Italy Pro,77KG,4F,2022
Ali Monfaradi,Kalel Santos,W,Triangle,Italy Pro,77KG,SF,2022
Ali Monfaradi,Bilal Benmahammed,W,Submission,Italy NG Pro,77KG,F,2022
Ali Monfaradi,Adnan Magomedov,W,Pts: 0x0,President Cup,N/A,NA,2022
Ali Monfaradi,A. Albarguthi,W,Submission,President Cup,N/A,NA,2022
Ali Monfaradi,Faraj Alawlaqi,W,Points,President Cup,N/A,NA,2022
Ali Monfaradi,Andre Cantanhede,W,Pts: 4x2,President Cup,N/A,3RD,2022
Ali Monfaradi,Jonatham Silva,W,Pts: 3x2,UAE Nat Pro,77KG,4F,2022
Ali Monfaradi,Yago Souza,W,Violin armlock,UAE Nat Pro,77KG,3RD,2022
Ali Monfaradi,Saif Hasan,W,Botinha,VP Cup,77KG,R1,2022
Ali Monfaradi,Joao Bezerra,W,Pts: 0x0,VP Cup,77KG,4F,2022
Ali Monfaradi,Pavel Kalesnik,W,Pts: 1x0,NoGi GP Rome,77KG,SF,2022
Ali Monfaradi,Thabet AlTaher,W,Pts: 8x0,World Pro,77KG,RPC,2022
Ali Monfaradi,Sebastian Guevara,W,Pts: 6x5,World Pro,77KG,RPC,2022
Ali Monfaradi,Ali Abualhaj,W,Triangle,World Pro,77KG,RPC,2022
Amanda Leve,Kendall Reusing,L,Injury,Polaris 19,ABS,SPF,2022
Amanda Magda,Fernanda Mazzelli,L,Pts: 7x2,Salvador Open,79KG,F,2022
Amanda Magda,Gabrieli Pessanha,L,Armbar,Salvador Open,ABS,SF,2022
Amanda Magda,Fernanda Mazzelli,L,Points,Betim Open,ABS,F,2022
Amanda Magda,Maria Malyjasiak,L,RNC,JJ Con,79KG,SF,2022
Amanda Magda,Melissa Cueto,L,Points,JJ Con,79KG,SF,2022
Alex Nguyen,Theresa Calloway,W,Armlock,Midwest F9,52KG,SF,2022
Amanda Magda,Isabela Resende,W,Points,Betim Open,79KG,SF,2022
Amanda Magda,Eduarda Gonzaga,W,Armbar,Vitoria Open,79KG,F,2022
Amanda Magda,Jessica Caroline,W,Pts: 2x2,SP Open,ABS,SF,2022
Amanda Magda,Deise Rocha,W,Kimura,Curitiba SPO,79KG,F,2022
Amanda Magda,Juliana Teixeira,W,Pts: 2x0,Curitiba SPO,ABS,F,2022
Amanda Magda,Maisa Santos,W,Pts: 2x0,South American,74KG,SF,2022
Amanda Magda,Marilia Freire,W,Pts: 11x0,South American,74KG,F,2022
Amanda Magda,Pollyanna Costa,W,Armlock,Salvador Open,79KG,SF,2022
Amanda Magda,Marcia Karina,W,Armlock,Vitoria Open,ABS,SF,2022
Amanda Magda,Julia Saboya,W,Armbar,Fortaleza Open,ABS,4F,2022
Amanda Magda,Karen Suely,W,Knee choke,Fortaleza Open,ABS,SF,2022
Amanda Magda,Brenda Ariane,W,Pts: 5x4,Fortaleza Open,ABS,F,2022
Amanda Magda,Thais Gomes,W,Adv,Vitoria Open,ABS,F,2022
Amy Campo,Ana Vieira,L,Armbar,World Champ.,74KG,4F,2022
Amy Campo,Gabrieli Pessanha,L,Referee Decision,World Champ.,ABS,F,2022
Amy Campo,Elisabeth Clay,L,Pts: 2x0,NoGi Worlds,ABS,F,2022
Amy Campo,Gloria Armas,W,Armbar,Denver NGO,79KG,RR,2022
Amy Campo,Gloria Armas,W,Bow and arrow,Denver NGO,ABS,4F,2022
Amy Campo,Hannah Rauch,W,Armbar,Denver NGO,ABS,SF,2022
Amy Campo,Kira Sung,W,Referee Decision,Denver NGO,ABS,F,2022
Amy Campo,Amy Cadwell,W,RNC,Denver NGO,ABS,SF,2022
Amy Campo,Erin Johnson,W,Scissor choke,Denver NGO,ABS,F,2022
Ali Monfaradi,Saaid Ahmad,W,Verbal tap,VP Cup,77KG,R2,2022
Amy Campo,Claire Thevenon,W,Armbar,World Champ.,ABS,R2,2022
Amy Campo,Yara Soares,W,Pts: 4x2,World Champ.,ABS,4F,2022
Amy Campo,Ana Vieira,W,Referee Decision,World Champ.,ABS,SF,2022
Emilio Hernandez,Matheus Onda,L,Pts: 8x0,American Nat.,70KG,4F,2022
Enderson Dias,Rodrigo Tatu,W,Pts: 6x6,American Nat.,94KG,4F,2022
Amy Campo,Mariana Rolszt,W,N/A,American NGN,ABS,SF,2022
Amy Campo,Luciana Mota,W,Armbar,American NGN,ABS,F,2022
Amy Campo,Barbara Barbosa,W,Armbar,Sal Lake CO,ABS,SF,2022
Amy Campo,Mayara Custodio,W,Triangle,Sal Lake CO,ABS,F,2022
Amy Campo,Mayara Custodio,W,RNC,Sal Lake CNGO,ABS,F,2022
Amy Campo,Eleftheria Christodoulou,W,Pts: 4x2,NoGi Worlds,ABS,8F,2022
Amy Campo,Julia Maele,W,Armbar,NoGi Worlds,ABS,4F,2022
