Fighter,Opponent,W/L,Method,Competition,Weight,Stage,Year,Decided by Points,Point Diff
Alex Enriquez,Jessica Sanchez,W,Omoplata,SOT Shore,56,,2022,0.0,
Alex Enriquez,Sophia Cassella,W,2x0,SOT Shore,56,,2022,1.0,2.0
Alex Enriquez,Ashley Nicole,W,22x0,Atlanta SPNGO,61,SF,2022,1.0,22.0
Alex Enriquez,Joanie Chamberlain,W,Guillotine,Atlanta SPNGO,61,F,2022,0.0,
Alex Enriquez,Julia Ramsden,W,Baratoplata,Atlanta SPNGO,ABS,F,2022,0.0,
Alex Enriquez,Savannah Wright,W,RNC,Finishers Open,68,SF,2022,0.0,
Alex Enriquez,Ansley Cox,W,RNC,Finishers Open,68,F,2022,0.0,
Alex Enriquez,Trinity Pun,W,EBI/OT,Finishers SO,61,SPF,2022,0.0,
Alex Enriquez,Mackenzie Schultz,W,12x0,Southern Subs,,4F,2022,1.0,12.0
Alex Enriquez,Amanda Steinaway,W,Submission,Southern Subs,,SF,2022,0.0,
Alex Enriquez,Nicole Matthew,W,EBI/OT,Finishers 17,61,SPF,2022,0.0,
Alex Enriquez,Amanda Alequin,W,0x0,NoGi Worlds,56,4F,2022,1.0,0.0
Alex Sodré,Fabricio Andrey,L,Armbar,BJJ Stars,66,SPF,2022,0.0,
Alex Sodré,Meyram Maquine,L,5x2,King of Mats,69,RR,2022,1.0,3.0
Alex Sodré,Meyram Maquine,L,8x0,King of Mats,69,RR,2022,1.0,8.0
Alex Sodré,Isaac Doederlein,L,4x3,King of Mats,69,SF,2022,1.0,1.0
Alex Sodré,Marlus Salgado,L,4x2,Grand Slam AD,69,SF,2022,1.0,2.0
Alex Sodré,Isaac Doederlein,L,2x2,World Champ.,70,4F,2022,1.0,0.0
Alex Sodré,Meyram Maquine,L,7x0,Grand Slam MIA,69,SF,2022,1.0,7.0
Alex Nguyen,Brittany Way,W,Armlock,The Finishers,56,SPF,2022,0.0,
Alex Sodré,Eduardo Jesus,W,Choke from back,Curitiba Open,76,R1,2022,0.0,
Alex Sodré,Higor Lima,W,11x8,Curitiba Open,76,4F,2022,1.0,3.0
Alex Sodré,Leandro Lima,W,Referee Decision,Curitiba Open,76,SF,2022,0.0,
Alex Sodré,Yuta Shimada,W,2x2,Pan American,70,R2,2022,1.0,0.0
Alex Sodré,Isaac Doederlein,W,4x2,Pan American,70,4F,2022,1.0,2.0
Alex Sodré,Thiago Macedo,W,4x2,Pan American,70,SF,2022,1.0,2.0
Alex Sodré,Rodnei Barbosa,W,5x1,King of Mats,69,RR,2022,1.0,4.0
Alex Sodré,Lucas Pinheiro,W,2x1,King of Mats,69,3RD,2022,1.0,1.0
Alex Sodré,Leo Saggioro,W,3x0,Grand Slam AD,69,4F,2022,1.0,3.0
Alex Sodré,Omar AlFadhli,W,Omoplata,Grand Slam AD,69,RPC,2022,0.0,
Alex Sodré,Tiago Cintra,W,50/50 armbar,World Champ.,70,8F,2022,0.0,
Alex Sodré,Gustavo Esteban,W,6x0,Grand Slam MIA,69,R1,2022,1.0,6.0
Alex Sodré,Ademir Barreto,W,1x1,Grand Slam MIA,69,4F,2022,1.0,0.0
Alex Sodré,Thiago Macedo,W,2x0,Grand Slam MIA,69,RPC,2022,1.0,2.0
Alex Sodré,Ademir Barreto,W,6x5,Grand Slam MIA,69,3RD,2022,1.0,1.0
Ali Monfaradi,Ellis Younger,L,8x1,Italy Pro,77,F,2022,1.0,7.0
Ali Monfaradi,Adriano Araujo,L,Referee Decision,UAE Nat Pro,77,SF,2022,0.0,
Ali Monfaradi,Mahdi Khaled,L,Referee Decision,VP Cup,77,SF,2022,0.0,
Ali Monfaradi,Lucas Protasio,L,13x7,NoGi GP Rome,77,F,2022,1.0,6.0
Ali Monfaradi,Marinaldo Morais,L,DQ,World Pro,77,8F,2022,0.0,
Ali Monfaradi,Andre Cantanhede,L,Botinha,World Pro,77,RPC,2022,0.0,
Ali Monfaradi,Bilal Benmahammed,W,1x0,Italy Pro,77,4F,2022,1.0,1.0
Ali Monfaradi,Kalel Santos,W,Triangle,Italy Pro,77,SF,2022,0.0,
Ali Monfaradi,Bilal Benmahammed,W,Submission,Italy NG Pro,77,F,2022,0.0,
Ali Monfaradi,Adnan Magomedov,W,0x0,President Cup,,,2022,1.0,0.0
Ali Monfaradi,A. Albarguthi,W,Submission,President Cup,,,2022,0.0,
Ali Monfaradi,Faraj Alawlaqi,W,Points,President Cup,,,2022,1.0,
Ali Monfaradi,Andre Cantanhede,W,4x2,President Cup,,3RD,2022,1.0,2.0
Ali Monfaradi,Jonatham Silva,W,3x2,UAE Nat Pro,77,4F,2022,1.0,1.0
Ali Monfaradi,Yago Souza,W,Violin armlock,UAE Nat Pro,77,3RD,2022,0.0,
Ali Monfaradi,Saif Hasan,W,Botinha,VP Cup,77,R1,2022,0.0,
Ali Monfaradi,Joao Bezerra,W,0x0,VP Cup,77,4F,2022,1.0,0.0
Ali Monfaradi,Pavel Kalesnik,W,1x0,NoGi GP Rome,77,SF,2022,1.0,1.0
Ali Monfaradi,Thabet AlTaher,W,8x0,World Pro,77,RPC,2022,1.0,8.0
Ali Monfaradi,Sebastian Guevara,W,6x5,World Pro,77,RPC,2022,1.0,1.0
Ali Monfaradi,Ali Abualhaj,W,Triangle,World Pro,77,RPC,2022,0.0,
Amanda Leve,Kendall Reusing,L,Injury,Polaris 19,ABS,SPF,2022,0.0,
Amanda Magda,Fernanda Mazzelli,L,7x2,Salvador Open,79,F,2022,1.0,5.0
Amanda Magda,Gabrieli Pessanha,L,Armbar,Salvador Open,ABS,SF,2022,0.0,
Amanda Magda,Fernanda Mazzelli,L,Points,Betim Open,ABS,F,2022,1.0,
Amanda Magda,Maria Malyjasiak,L,RNC,JJ Con,79,SF,2022,0.0,
Amanda Magda,Melissa Cueto,L,Points,JJ Con,79,SF,2022,1.0,
Alex Nguyen,Theresa Calloway,W,Armlock,Midwest F9,52,SF,2022,0.0,
Amanda Magda,Isabela Resende,W,Points,Betim Open,79,SF,2022,1.0,
Amanda Magda,Eduarda Gonzaga,W,Armbar,Vitoria Open,79,F,2022,0.0,
Amanda Magda,Jessica Caroline,W,2x2,SP Open,ABS,SF,2022,1.0,0.0
Amanda Magda,Deise Rocha,W,Kimura,Curitiba SPO,79,F,2022,0.0,
Amanda Magda,Juliana Teixeira,W,2x0,Curitiba SPO,ABS,F,2022,1.0,2.0
Amanda Magda,Maisa Santos,W,2x0,South American,74,SF,2022,1.0,2.0
Amanda Magda,Marilia Freire,W,11x0,South American,74,F,2022,1.0,11.0
Amanda Magda,Pollyanna Costa,W,Armlock,Salvador Open,79,SF,2022,0.0,
Amanda Magda,Marcia Karina,W,Armlock,Vitoria Open,ABS,SF,2022,0.0,
Amanda Magda,Julia Saboya,W,Armbar,Fortaleza Open,ABS,4F,2022,0.0,
Amanda Magda,Karen Suely,W,Knee choke,Fortaleza Open,ABS,SF,2022,0.0,
